,Area,Borough,Latitude,Longitude
117,Highams Park,Waltham Forest,51.6088927,-0.0001301
118,Highbury,Islington,51.5457996,-0.1027127
119,Highgate,Camden,51.5744322,-0.1526837
120,Hither Green,Lewisham,51.4514446,-0.0004955
121,Holborn,Camden,51.5179341,-0.1195284
122,Holland Park,Kensington and Chelsea,51.50301195,-0.20414761379575316
123,Holloway,Islington,51.5572453,-0.1183706
124,Homerton,Hackney,51.5470789,-0.043121
125,Honor Oak,Lewisham,51.4499075,-0.0399142
126,Horn Park,Greenwich,51.4472867,0.0260585
127,Hornsey,Haringey,51.5863215,-0.1116832
128,Hoxton,Hackney,51.5312914,-0.0758535
129,The Hyde,Barnet,51.5907988,-0.2556949
130,Isle of Dogs,Tower Hamlets,51.4978447,-0.0168854
131,Islington,Islington,51.5384287,-0.0999051
132,Kennington,Lambeth,51.4824378,-0.1116818
133,Kensal Green,Brent,51.5306063,-0.2244449
134,Kensington,Kensington and Chelsea,51.4989948,-0.1991229
135,Kentish Town,Camden,51.5500658,-0.1425625
136,Kidbrooke,Greenwich,51.4675731,0.0285241
137,Kilburn,Brent,51.5469889,-0.2053385
138,Kingsbury,Brent,51.5843174,-0.2787137
139,Kingston Vale,Kingston upon Thames,51.43185,-0.2581379
140,Knightsbridge,Westminster,51.5017546,-0.1608199
141,Ladywell,Lewisham,51.4560257,-0.0191917
142,Lambeth,Lambeth,51.5013012,-0.117287
143,Lea Bridge,Hackney,51.562141499999996,-0.045734448334317473
144,Leamouth,Tower Hamlets,51.5113635,0.0004214
145,Lee,Lewisham,51.4496826,0.0145036
146,Lewisham,Lewisham,51.4624325,-0.0101331
147,Leyton,Waltham Forest,51.5696734,-0.015681
148,Leytonstone,Waltham Forest,51.5688027,0.0086166
149,Limehouse,Tower Hamlets,51.5133074,-0.0351492
150,Lisson Grove,Westminster,51.5263592,-0.1718219
151,Little Ilford,Newham,51.550298,0.0625225
152,Little Venice,Westminster,51.5211948,-0.1824045
153,Lower Clapton,Hackney,51.5546565,-0.0550912
154,Maida Vale,Westminster,51.5297928,-0.1857906
155,Manor House,Hackney,51.5703208,-0.0963971
156,Manor Park,Newham,51.5506867,0.0476391
157,Maryland,Newham,51.5460532,0.0059223
158,Marylebone ,Westminster,51.5222363,-0.1635046
159,Mayfair,Westminster,51.5110872,-0.147058
160,Maze Hill,Greenwich,51.482607,0.0038458
161,Merton Park,Merton,51.4079938,-0.2019654
162,Middle Park,Greenwich,51.4453135,0.0400849
163,Mile End,Tower Hamlets,51.5253378,-0.033435
164,Mill Hill,Barnet,51.6154423,-0.2330675
165,Millbank,Westminster,51.4926121,-0.1290435
166,Millwall,Tower Hamlets,51.4933423,-0.0212187
167,Mortlake,Richmond upon Thames,51.4680686,-0.2669404
168,Mottingham,Bromley,51.431026599999996,0.043265575181889795
169,Nag's Head,Islington,51.5338502,-0.1058267
170,Neasden,Brent,51.5543358,-0.250749
171,New Cross,Lewisham,51.4763706,-0.0326237
172,New Eltham,Greenwich,51.4362297,0.0685289
173,New Southgate,Barnet,51.6140016,-0.1430349
174,Newington,Southwark,51.4921753,-0.1019873
175,Nine Elms,Wandsworth,51.4787433,-0.1362629
176,Norbury,Croydon,51.4110663,-0.1224869
177,North Finchley,Barnet,51.6124905,-0.1756922
178,North Kensington,Kensington and Chelsea,51.5196647,-0.2106959
179,North Woolwich,Newham,51.5004071,0.064154
180,Notting Hill,Kensington and Chelsea,51.5109995,-0.2055267
181,Nunhead,Southwark,51.4668348,-0.0523755
182,Oakleigh Park,Barnet,51.6377516,-0.1662835
183,Old Ford,Tower Hamlets,51.5341124,-0.0268215
184,Old Oak Common,Hammersmith and Fulham,51.52921055,-0.2409410474285966
185,Osidge,Barnet,51.632198,-0.1430039
186,Oval,Lambeth,51.48375215,-0.11496182711601476
187,Paddington,Westminster,51.5170856,-0.1775422
188,Palmers Green,Enfield,51.6183704,-0.110499
189,Parsons Green,Hammersmith and Fulham,51.4750837,-0.201549
